id,prompt,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
e11,Is it raining in London?,get_weather,"{""location"": ""London""}","```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""}}
```",get_weather,"{""location"": ""London""}",True,True,True,False,5060.0,
e12,Set a 5 minute timer labeled 'tea'.,set_timer,"{""duration_minutes"": 5, ""label"": ""tea""}","{""name"": ""get_timer"", ""arguments"": {""duration"": ""5""}}",get_timer,"{""duration"": ""5""}",False,False,True,False,4930.4,
e13,Send a message to my boss saying I'm sick today.,send_message,"{""recipient"": ""boss"", ""message"": ""I'm sick today""}","```json
{""name"": ""send_message"", ""arguments"": {""to"": ""boss"", ""message"": ""I'm sick today.""}}
```",send_message,"{""to"": ""boss"", ""message"": ""I'm sick today.""}",True,False,True,False,5305.3,
e14,Who won the world cup in 2018?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""Brazil""}}
```",get_weather,"{""location"": ""Brazil""}",False,False,True,True,4831.6,
e15,Can you check the weather for New York City?,get_weather,"{""location"": ""New York City""}","```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""New York City""}}
```",get_weather,"{""location"": ""New York City""}",True,True,True,False,4728.0,
e16,Find my friend Michael in contacts.,search_contacts,"{""query"": ""Michael""}","```json
{""name"": ""search_contacts"", ""arguments"": {""contact"": ""Michael""}}
```",search_contacts,"{""contact"": ""Michael""}",True,False,True,False,4582.0,
e17,Set timer 15 minutes for workout.,set_timer,"{""duration_minutes"": 15, ""label"": ""workout""}","{""name"": ""get_timer"", ""arguments"": {""duration"": ""15 minutes""}}",get_timer,"{""duration"": ""15 minutes""}",False,False,True,False,4390.2,
e18,Please message Emma that the meeting is moved to 3pm.,send_message,"{""recipient"": ""Emma"", ""message"": ""the meeting is moved to 3pm""}","```json
{""name"": ""send_message"", ""arguments"": {""to"": ""Emma"", ""message"": ""The meeting is moved to 3pm.""}}
```",send_message,"{""to"": ""Emma"", ""message"": ""The meeting is moved to 3pm.""}",True,False,True,False,4877.8,
e19,Explain the theory of relativity in simple terms.,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""} }
```",get_weather,"{""location"": ""London""}",False,False,True,True,4513.5,
e20,What's the forecast for Sydney?,get_weather,"{""location"": ""Sydney""}","```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""Sydney""}}
```",get_weather,"{""location"": ""Sydney""}",True,True,True,False,4440.9,
e21,Search contacts for 'John'.,search_contacts,"{""query"": ""John""}","{""name"": ""search_contacts"", ""arguments"": {""contact"": ""John""}}",search_contacts,"{""contact"": ""John""}",True,False,True,False,4481.3,
e22,"Timer for 45 minutes, label 'laundry'.",set_timer,"{""duration_minutes"": 45, ""label"": ""laundry""}","{""name"": ""get_timer"", ""arguments"": {""duration"": ""45""}}",get_timer,"{""duration"": ""45""}",False,False,True,False,4452.0,
e23,Send a text to Alex: 'Bring the documents please'.,send_message,"{""recipient"": ""Alex"", ""message"": ""Bring the documents please""}","{""name"": ""send_message"", ""arguments"": { ""to"": ""Alex"" }}",send_message,"{""to"": ""Alex""}",True,False,True,False,4341.4,
e24,Can you write me a poem about the ocean?,none,,"```json
{""name"": ""Ocean's Whisper"",
""arguments"": {
""search_contacts"": null}
}
```",Ocean's Whisper,"{""search_contacts"": null}",False,False,True,True,4629.8,
e25,Do I need an umbrella in Berlin?,get_weather,"{""location"": ""Berlin""}","```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""Berlin""}}
```",get_weather,"{""location"": ""Berlin""}",True,True,True,False,4439.8,
e26,Set a timer for two minutes to brush my teeth.,set_timer,"{""duration_minutes"": 2, ""label"": ""brush my teeth""}","{""name"": ""get_timer"", ""arguments"": { ""duration"": ""2"" }}",get_timer,"{""duration"": ""2""}",False,False,True,False,4519.8,
e27,Message grandma happy birthday.,send_message,"{""recipient"": ""grandma"", ""message"": ""happy birthday""}","```json
{""name"": ""send_message"", ""arguments"": { ""to"": ""grandma"", ""message"": ""Happy birthday!""}}
```",send_message,"{""to"": ""grandma"", ""message"": ""Happy birthday!""}",True,False,True,False,4692.2,
e28,"Hello there, how's it going?",none,,"{""name"": ""get_weather"", ""arguments"": {""location"": ""London""}}",get_weather,"{""location"": ""London""}",False,False,True,True,4408.6,
e29,Find contact Tom.,search_contacts,"{""query"": ""Tom""}","```json
{""name"": ""search_contacts"", ""arguments"": { ""contact_name"": ""Tom""} }
```",search_contacts,"{""contact_name"": ""Tom""}",True,False,True,False,4716.5,
e30,What is 2 plus 2?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""} }
```",get_weather,"{""location"": ""London""}",False,False,True,True,4515.2,
e31,Thanks so much for your help!,none,,,,,True,True,True,False,3802.3,
e32,What time is it?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""} }
```",get_weather,"{""location"": ""London""}",False,False,True,True,4443.5,
e33,Can you summarize that article I sent earlier?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""}}
```",get_weather,"{""location"": ""London""}",False,False,True,True,4555.4,
e34,Good morning!,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""} }
```",get_weather,"{""location"": ""London""}",False,False,True,True,4470.7,
