model_id,id,expected_tool,category,difficulty,trials_correct,failure_mode
qwen3-0.6b,n136,send_message,edge_case,hard,8,always_right
qwen3-0.6b,n137,search_contacts,edge_case,hard,8,always_right
qwen3-0.6b,n138,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n139,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n140,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n141,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n142,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n143,send_message,edge_case,hard,8,always_right
qwen3-0.6b,n144,send_message,edge_case,hard,8,always_right
qwen3-0.6b,n145,send_message,edge_case,hard,7,inconsistent
qwen3-0.6b,n146,get_weather,edge_case,hard,8,always_right
qwen3-0.6b,n147,search_contacts,edge_case,hard,8,always_right
qwen3-0.6b,n148,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n149,send_message,edge_case,hard,8,always_right
qwen3-0.6b,n150,none,edge_case,hard,4,inconsistent
qwen2.5-0.5b,n001,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n002,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n003,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n004,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n005,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n006,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n007,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n008,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n009,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n010,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n011,get_weather,should_call,easy,8,always_right
qwen2.5-0.5b,n012,get_weather,should_call,medium,0,always_wrong
qwen2.5-0.5b,n013,get_weather,should_call,medium,8,always_right
qwen2.5-0.5b,n014,get_weather,should_call,medium,0,always_wrong
qwen2.5-0.5b,n015,get_weather,should_call,medium,0,always_wrong
qwen2.5-0.5b,n016,get_weather,should_call,medium,7,inconsistent
qwen2.5-0.5b,n017,get_weather,should_call,medium,8,always_right
qwen2.5-0.5b,n018,get_weather,should_call,medium,6,inconsistent
qwen2.5-0.5b,n019,get_weather,should_call,hard,8,always_right
qwen2.5-0.5b,n020,get_weather,should_call,hard,0,always_wrong
qwen2.5-0.5b,n021,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n022,search_contacts,should_call,easy,7,inconsistent
qwen2.5-0.5b,n023,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n024,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n025,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n026,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n027,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n028,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n029,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n030,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n031,search_contacts,should_call,easy,8,always_right
qwen2.5-0.5b,n032,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n033,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n034,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n035,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n036,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n037,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n038,search_contacts,should_call,medium,8,always_right
qwen2.5-0.5b,n039,search_contacts,should_call,hard,8,always_right
qwen2.5-0.5b,n040,search_contacts,should_call,hard,8,always_right
qwen2.5-0.5b,n041,set_timer,multi_arg,easy,8,always_right
qwen2.5-0.5b,n042,set_timer,multi_arg,easy,8,always_right
qwen2.5-0.5b,n043,set_timer,multi_arg,easy,8,always_right
qwen2.5-0.5b,n044,set_timer,multi_arg,easy,8,always_right
qwen2.5-0.5b,n045,set_timer,multi_arg,easy,8,always_right
qwen2.5-0.5b,n046,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n047,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n048,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n049,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n050,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n051,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n052,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n053,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n054,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n055,set_timer,multi_arg,medium,8,always_right
qwen2.5-0.5b,n056,set_timer,multi_arg,hard,8,always_right
qwen2.5-0.5b,n057,set_timer,multi_arg,hard,8,always_right
qwen2.5-0.5b,n058,set_timer,multi_arg,hard,8,always_right
qwen2.5-0.5b,n059,set_timer,multi_arg,hard,8,always_right
qwen2.5-0.5b,n060,set_timer,multi_arg,hard,8,always_right
qwen2.5-0.5b,n061,send_message,multi_arg,easy,8,always_right
qwen2.5-0.5b,n062,send_message,multi_arg,easy,7,inconsistent
qwen2.5-0.5b,n063,send_message,multi_arg,easy,8,always_right
qwen2.5-0.5b,n064,send_message,multi_arg,easy,8,always_right
qwen2.5-0.5b,n065,send_message,multi_arg,easy,8,always_right
qwen2.5-0.5b,n066,send_message,multi_arg,medium,7,inconsistent
qwen2.5-0.5b,n067,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n068,send_message,multi_arg,medium,5,inconsistent
qwen2.5-0.5b,n069,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n070,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n071,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n072,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n073,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n074,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n075,send_message,multi_arg,medium,8,always_right
qwen2.5-0.5b,n076,send_message,multi_arg,hard,0,always_wrong
qwen2.5-0.5b,n077,send_message,multi_arg,hard,8,always_right
qwen2.5-0.5b,n078,send_message,multi_arg,hard,8,always_right
qwen2.5-0.5b,n079,send_message,multi_arg,hard,8,always_right
qwen2.5-0.5b,n080,send_message,multi_arg,hard,8,always_right
qwen2.5-0.5b,n081,none,should_not_call,easy,2,inconsistent
qwen2.5-0.5b,n082,none,should_not_call,easy,1,inconsistent
qwen2.5-0.5b,n083,none,should_not_call,easy,6,inconsistent
qwen2.5-0.5b,n084,none,should_not_call,easy,8,always_right
qwen2.5-0.5b,n085,none,should_not_call,easy,5,inconsistent
qwen2.5-0.5b,n086,none,should_not_call,easy,0,always_wrong
qwen2.5-0.5b,n087,none,should_not_call,easy,1,inconsistent
qwen2.5-0.5b,n088,none,should_not_call,easy,8,always_right
qwen2.5-0.5b,n089,none,should_not_call,easy,1,inconsistent
qwen2.5-0.5b,n090,none,should_not_call,easy,7,inconsistent
qwen2.5-0.5b,n091,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n092,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n093,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n094,none,should_not_call,medium,8,always_right
qwen2.5-0.5b,n095,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n096,none,should_not_call,medium,4,inconsistent
qwen2.5-0.5b,n097,none,should_not_call,medium,3,inconsistent
qwen2.5-0.5b,n098,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n099,none,should_not_call,medium,1,inconsistent
qwen2.5-0.5b,n100,none,should_not_call,medium,0,always_wrong
qwen2.5-0.5b,n101,none,should_not_call,medium,2,inconsistent
qwen2.5-0.5b,n102,none,should_not_call,medium,3,inconsistent
qwen2.5-0.5b,n103,none,should_not_call,medium,1,inconsistent
qwen2.5-0.5b,n104,none,should_not_call,medium,3,inconsistent
qwen2.5-0.5b,n105,none,should_not_call,medium,8,always_right
qwen2.5-0.5b,n106,none,should_not_call,hard,1,inconsistent
qwen2.5-0.5b,n107,none,should_not_call,hard,3,inconsistent
qwen2.5-0.5b,n108,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n109,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n110,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n111,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n112,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n113,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n114,none,should_not_call,hard,0,always_wrong
qwen2.5-0.5b,n115,none,should_not_call,hard,2,inconsistent
qwen2.5-0.5b,n116,set_timer,edge_case,easy,8,always_right
qwen2.5-0.5b,n117,send_message,edge_case,easy,8,always_right
qwen2.5-0.5b,n118,search_contacts,edge_case,easy,8,always_right
qwen2.5-0.5b,n119,search_contacts,edge_case,medium,8,always_right
qwen2.5-0.5b,n120,set_timer,edge_case,medium,8,always_right
qwen2.5-0.5b,n121,send_message,edge_case,medium,8,always_right
qwen2.5-0.5b,n122,get_weather,edge_case,medium,8,always_right
qwen2.5-0.5b,n123,search_contacts,edge_case,medium,8,always_right
qwen2.5-0.5b,n124,set_timer,edge_case,medium,8,always_right
qwen2.5-0.5b,n125,get_weather,edge_case,hard,8,always_right
qwen2.5-0.5b,n126,get_weather,edge_case,hard,8,always_right
qwen2.5-0.5b,n127,get_weather,edge_case,hard,0,always_wrong
qwen2.5-0.5b,n128,search_contacts,edge_case,hard,8,always_right
qwen2.5-0.5b,n129,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n130,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n131,send_message,edge_case,hard,0,always_wrong
qwen2.5-0.5b,n132,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n133,get_weather,edge_case,hard,8,always_right
qwen2.5-0.5b,n134,search_contacts,edge_case,hard,8,always_right
qwen2.5-0.5b,n135,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n136,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n137,search_contacts,edge_case,hard,8,always_right
qwen2.5-0.5b,n138,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n139,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n140,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n141,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n142,set_timer,edge_case,hard,7,inconsistent
qwen2.5-0.5b,n143,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n144,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n145,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n146,get_weather,edge_case,hard,8,always_right
qwen2.5-0.5b,n147,search_contacts,edge_case,hard,8,always_right
qwen2.5-0.5b,n148,set_timer,edge_case,hard,8,always_right
qwen2.5-0.5b,n149,send_message,edge_case,hard,8,always_right
qwen2.5-0.5b,n150,none,edge_case,hard,0,always_wrong
