trial,id,prompt,category,difficulty,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
6,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3124.4,
7,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,2922.2,
8,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,2930.0,
1,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,2935.8,
2,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,2950.5,
3,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,2995.8,
4,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,2945.0,
5,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,2921.2,
6,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,3149.5,
7,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,3109.7,
8,n010,what's the temperature in Cairo right now,should_call,easy,get_weather,"{""location"": ""Cairo""}",,get_weather,"{""location"": ""Cairo""}",True,True,True,False,3127.7,
1,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3115.4,
2,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3094.2,
3,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3148.2,
4,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3097.5,
5,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,2975.1,
6,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3098.0,
7,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3023.5,
8,n011,give me a weather update for Lima,should_call,easy,get_weather,"{""location"": ""Lima""}",,get_weather,"{""location"": ""Lima""}",True,True,True,False,3035.4,
1,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,2970.4,
2,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,2986.7,
3,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""coat Chicago""}",False,False,True,False,3299.9,
4,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,3118.0,
5,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,3132.1,
6,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,3305.5,
7,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,search_contacts,"{""query"": ""Chicago""}",False,False,True,False,3109.9,
8,n012,should I wear a coat in Chicago today,should_call,medium,get_weather,"{""location"": ""Chicago""}",,send_message,"{""recipient"": ""user"", ""message"": ""Should I wear a coat in Chicago today?""}",False,False,True,False,3354.8,
1,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3218.3,
2,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3108.6,
3,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,2999.8,
4,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3071.2,
5,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3088.0,
6,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3034.2,
7,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3006.7,
8,n013,is it sunny in Barcelona,should_call,medium,get_weather,"{""location"": ""Barcelona""}",,get_weather,"{""location"": ""Barcelona""}",True,True,True,False,3143.4,
1,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3098.8,
2,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3057.3,
3,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3057.2,
4,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3019.6,
5,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3010.7,
6,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,2972.1,
7,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3010.4,
8,n014,will it snow in Helsinki this weekend,should_call,medium,get_weather,"{""location"": ""Helsinki""}",,search_contacts,"{""query"": ""Helsinki""}",False,False,True,False,3065.4,
1,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3038.9,
2,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3080.4,
3,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3126.7,
4,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,2893.8,
5,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3010.3,
6,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,2958.6,
7,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3105.3,
8,n015,"packing for a trip to Bangkok, what's it like there",should_call,medium,get_weather,"{""location"": ""Bangkok""}",,search_contacts,"{""query"": ""Bangkok""}",False,False,True,False,3058.2,
1,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavik""}",True,True,True,False,3045.9,
2,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavik""}",True,True,True,False,3418.3,
3,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": "" Reykjavík""}",True,False,True,False,3096.3,
4,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavik""}",True,True,True,False,3213.8,
5,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavík""}",True,False,True,False,3445.5,
6,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavík""}",True,False,True,False,3522.8,
7,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,get_weather,"{""location"": ""Reykjavik""}",True,True,True,False,3417.3,
8,n016,is it cold in Reykjavik right now,should_call,medium,get_weather,"{""location"": ""Reykjavik""}",,search_contacts,"{""query"": ""Reykjavik""}",False,False,True,False,3402.6,
1,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3464.4,
2,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,4337.8,
3,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3120.1,
4,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3136.7,
5,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3162.9,
6,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3127.4,
7,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,4556.8,
8,n017,"heading out in Nairobi, need to know the weather",should_call,medium,get_weather,"{""location"": ""Nairobi""}",,get_weather,"{""location"": ""Nairobi""}",True,True,True,False,3088.3,
1,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3184.6,
2,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,search_contacts,"{""query"": ""Phoenix""}",False,False,True,False,3402.9,
3,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3055.3,
4,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3244.1,
5,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3714.1,
6,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3183.2,
7,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,get_weather,"{""location"": ""Phoenix""}",True,True,True,False,3318.2,
8,n018,how hot is it in Phoenix today,should_call,medium,get_weather,"{""location"": ""Phoenix""}",,search_contacts,"{""query"": ""Phoenix""}",False,False,True,False,3261.7,
1,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3151.1,
2,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3450.0,
3,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3338.8,
4,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3384.6,
5,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3536.1,
6,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3165.6,
7,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3148.3,
8,n019,I'm comparing Paris and Rome for my trip but right now just tell me the weather in Rome,should_call,hard,get_weather,"{""location"": ""Rome""}",,get_weather,"{""location"": ""Rome""}",True,True,True,False,3590.5,
1,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle""}",False,False,True,False,3365.8,
2,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle""}",False,False,True,False,3676.9,
3,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle, Miami""}",False,False,True,False,3123.3,
4,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle""}",False,False,True,False,3113.0,
5,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle, Miami""}",False,False,True,False,3046.4,
6,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle""}",False,False,True,False,3117.5,
7,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle, Miami""}",False,False,True,False,3131.3,
8,n020,"not sure if I should bike to work in Seattle, my cousin says it's nice in Miami but what's it doing in Seattle",should_call,hard,get_weather,"{""location"": ""Seattle""}",,search_contacts,"{""query"": ""Seattle, Miami""}",False,False,True,False,3005.1,
1,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,3016.8,
2,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,4180.8,
3,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,3161.6,
4,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,3001.1,
5,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,2990.2,
6,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,3064.0,
7,n021,pull up Priya in my contacts,should_call,easy,search_contacts,"{""query"": ""Priya""}",,search_contacts,"{""query"": ""Priya""}",True,True,True,False,2974.9,
